tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
5791,note_on,,,,,1,0,0,,,0,72,84,,
5797,note_on,,,,,6,0,0,,,0,69,58,,
5797,note_on,,,,,0,0,0,,,0,53,101,,
5798,note_on,,,,,1,0,0,,,0,41,93,,
5813,note_off,,,,,15,0,0,,,0,53,64,,
5815,note_off,,,,,2,0,0,,,0,63,64,,
5818,note_off,,,,,3,0,0,,,0,41,64,,
5821,note_off,,,,,3,0,0,,,0,69,64,,
5850,control_change,,,,,29,0,0,,,0,,,64,0
5862,note_off,,,,,12,0,0,,,0,72,64,,
5880,note_on,,,,,18,0,0,,,0,74,107,,
5881,note_on,,,,,1,0,0,,,0,69,78,,
5881,note_on,,,,,0,0,0,,,0,46,98,,
5887,note_on,,,,,6,0,0,,,0,34,92,,
5887,note_on,,,,,0,0,0,,,0,65,87,,
5904,note_off,,,,,17,0,0,,,0,65,64,,
5924,note_off,,,,,20,0,0,,,0,34,64,,
5930,note_off,,,,,6,0,0,,,0,69,64,,
5943,note_off,,,,,13,0,0,,,0,46,64,,
5965,control_change,,,,,22,0,0,,,0,,,64,127
5971,note_on,,,,,6,0,0,,,0,69,51,,
5972,note_on,,,,,1,0,0,,,0,65,78,,
5977,note_on,,,,,5,0,0,,,0,62,84,,
6003,note_off,,,,,26,0,0,,,0,65,64,,
6016,note_off,,,,,13,0,0,,,0,74,64,,
6026,note_off,,,,,10,0,0,,,0,62,64,,
6055,note_off,,,,,29,0,0,,,0,69,64,,
6057,note_on,,,,,2,0,0,,,0,57,74,,
6063,note_on,,,,,6,0,0,,,0,53,103,,
6077,note_off,,,,,14,0,0,,,0,57,64,,
6081,note_off,,,,,4,0,0,,,0,53,64,,
6145,note_on,,,,,64,0,0,,,0,70,86,,
6147,note_on,,,,,2,0,0,,,0,51,82,,
6149,note_on,,,,,2,0,0,,,0,62,90,,
6153,note_on,,,,,4,0,0,,,0,39,75,,
6154,note_on,,,,,1,0,0,,,0,67,56,,
6166,note_off,,,,,12,0,0,,,0,51,64,,
6171,note_off,,,,,5,0,0,,,0,39,64,,
6182,note_off,,,,,11,0,0,,,0,67,64,,
6203,note_off,,,,,21,0,0,,,0,62,64,,
6204,control_change,,,,,1,0,0,,,0,,,64,0
6207,note_off,,,,,3,0,0,,,0,70,64,,
6234,note_on,,,,,27,0,0,,,0,72,108,,
6240,note_on,,,,,6,0,0,,,0,63,99,,
6241,note_on,,,,,1,0,0,,,0,67,85,,
6246,note_on,,,,,5,0,0,,,0,45,80,,
6249,note_on,,,,,3,0,0,,,0,33,79,,
6272,note_off,,,,,23,0,0,,,0,33,64,,
6278,note_off,,,,,6,0,0,,,0,63,64,,
6281,note_off,,,,,3,0,0,,,0,67,64,,
6309,note_off,,,,,28,0,0,,,0,45,64,,
6318,note_on,,,,,9,0,0,,,0,67,68,,
6318,note_on,,,,,0,0,0,,,0,60,82,,
6318,control_change,,,,,0,0,0,,,0,,,64,127
6319,note_on,,,,,1,0,0,,,0,63,62,,
6356,note_off,,,,,37,0,0,,,0,72,64,,
6383,note_off,,,,,27,0,0,,,0,60,64,,
6390,note_off,,,,,7,0,0,,,0,63,64,,
6391,note_off,,,,,1,0,0,,,0,67,64,,
6408,note_on,,,,,17,0,0,,,0,51,80,,
6416,note_on,,,,,8,0,0,,,0,48,54,,
6447,note_off,,,,,31,0,0,,,0,51,64,,
6448,note_off,,,,,1,0,0,,,0,48,64,,
6486,note_on,,,,,38,0,0,,,0,51,72,,
6491,note_on,,,,,5,0,0,,,0,55,67,,
6506,note_off,,,,,15,0,0,,,0,51,64,,
6514,note_off,,,,,8,0,0,,,0,55,64,,
6603,control_change,,,,,89,0,0,,,0,,,64,0
6618,note_on,,,,,15,0,0,,,0,69,92,,
6624,note_on,,,,,6,0,0,,,0,66,76,,
6625,note_on,,,,,1,0,0,,,0,62,91,,
6627,note_on,,,,,2,0,0,,,0,26,94,,
6627,note_on,,,,,0,0,0,,,0,38,96,,
6680,note_off,,,,,53,0,0,,,0,62,64,,
6681,note_off,,,,,1,0,0,,,0,26,64,,
6681,note_off,,,,,0,0,0,,,0,66,64,,
6687,note_off,,,,,6,0,0,,,0,38,64,,
6716,note_on,,,,,29,0,0,,,0,62,62,,
6717,note_on,,,,,1,0,0,,,0,57,72,,
6717,control_change,,,,,0,0,0,,,0,,,64,127
6718,note_on,,,,,1,0,0,,,0,66,50,,
6746,note_off,,,,,28,0,0,,,0,57,64,,
6789,note_off,,,,,43,0,0,,,0,62,64,,
6801,note_on,,,,,12,0,0,,,0,54,81,,
6806,note_on,,,,,5,0,0,,,0,50,62,,
6818,note_off,,,,,12,0,0,,,0,66,64,,
6834,note_off,,,,,16,0,0,,,0,50,64,,
6838,note_off,,,,,4,0,0,,,0,69,64,,
6844,note_off,,,,,6,0,0,,,0,54,64,,
6891,note_on,,,,,47,0,0,,,0,54,71,,
6896,note_on,,,,,5,0,0,,,0,57,67,,
6912,note_off,,,,,16,0,0,,,0,54,64,,
6917,note_off,,,,,5,0,0,,,0,57,64,,
6987,control_change,,,,,70,0,0,,,0,,,64,0
7003,note_on,,,,,16,0,0,,,0,67,94,,
7010,note_on,,,,,7,0,0,,,0,62,76,,
7011,note_on,,,,,1,0,0,,,0,59,71,,
7018,note_on,,,,,7,0,0,,,0,31,88,,
7021,note_on,,,,,3,0,0,,,0,43,76,,
7049,note_off,,,,,28,0,0,,,0,62,64,,
7051,note_off,,,,,2,0,0,,,0,59,64,,
7078,note_off,,,,,27,0,0,,,0,31,64,,
7091,note_off,,,,,13,0,0,,,0,43,64,,
7101,note_on,,,,,10,0,0,,,0,55,73,,
7106,note_on,,,,,5,0,0,,,0,62,50,,
7109,note_on,,,,,3,0,0,,,0,59,50,,
7110,control_change,,,,,1,0,0,,,0,,,64,127
7124,note_off,,,,,14,0,0,,,0,55,64,,
7140,note_off,,,,,16,0,0,,,0,59,64,,
7171,note_off,,,,,31,0,0,,,0,62,64,,
7192,note_on,,,,,21,0,0,,,0,55,35,,
7194,note_on,,,,,2,0,0,,,0,59,34,,
7201,note_on,,,,,7,0,0,,,0,50,51,,
7221,note_off,,,,,20,0,0,,,0,55,64,,
7229,note_off,,,,,8,0,0,,,0,59,64,,
7281,note_off,,,,,52,0,0,,,0,50,64,,
7304,note_on,,,,,23,0,0,,,0,62,58,,
7304,note_on,,,,,0,0,0,,,0,55,59,,
7313,note_on,,,,,9,0,0,,,0,59,41,,
7332,note_off,,,,,19,0,0,,,0,62,64,,
7340,note_off,,,,,8,0,0,,,0,59,64,,
7346,note_off,,,,,6,0,0,,,0,55,64,,
7447,note_on,,,,,101,0,0,,,0,65,59,,
7454,note_on,,,,,7,0,0,,,0,62,46,,
7455,note_on,,,,,1,0,0,,,0,59,51,,
7487,control_change,,,,,32,0,0,,,0,,,64,0
7579,control_change,,,,,92,0,0,,,0,,,64,127
7598,note_off,,,,,19,0,0,,,0,59,64,,
7601,note_off,,,,,3,0,0,,,0,62,64,,
7606,note_off,,,,,5,0,0,,,0,65,64,,
7620,note_off,,,,,14,0,0,,,0,67,64,,
7771,control_change,,,,,151,0,0,,,0,,,64,0
7774,note_on,,,,,3,0,0,,,0,58,22,,
7774,note_on,,,,,0,0,0,,,0,67,51,,
7780,note_on,,,,,6,0,0,,,0,63,38,,
7798,note_on,,,,,18,0,0,,,0,43,24,,
7803,note_on,,,,,5,0,0,,,0,31,21,,
7823,note_off,,,,,20,0,0,,,0,63,64,,
7843,note_off,,,,,20,0,0,,,0,58,64,,
7878,control_change,,,,,35,0,0,,,0,,,64,127
7892,note_off,,,,,14,0,0,,,0,43,64,,
7899,note_off,,,,,7,0,0,,,0,31,64,,
7903,note_on,,,,,4,0,0,,,0,68,51,,
7911,note_on,,,,,8,0,0,,,0,58,15,,
7914,note_off,,,,,3,0,0,,,0,67,64,,
7918,note_on,,,,,4,0,0,,,0,65,31,,
7945,note_off,,,,,27,0,0,,,0,65,64,,
7950,note_off,,,,,5,0,0,,,0,58,64,,
7978,note_off,,,,,28,0,0,,,0,68,64,,
7986,control_change,,,,,8,0,0,,,0,,,64,0
8007,note_on,,,,,21,0,0,,,0,70,56,,
8025,note_on,,,,,18,0,0,,,0,63,42,,
8026,note_on,,,,,1,0,0,,,0,43,30,,
8028,note_on,,,,,2,0,0,,,0,67,40,,
8028,note_on,,,,,0,0,0,,,0,31,50,,
8059,note_off,,,,,31,0,0,,,0,31,64,,
8060,note_off,,,,,1,0,0,,,0,63,64,,
8066,note_off,,,,,6,0,0,,,0,67,64,,
8070,note_off,,,,,4,0,0,,,0,43,64,,
8086,control_change,,,,,16,0,0,,,0,,,64,127
8113,note_on,,,,,27,0,0,,,0,58,42,,
8116,note_on,,,,,3,0,0,,,0,63,34,,
8122,note_on,,,,,6,0,0,,,0,67,20,,
8142,note_off,,,,,20,0,0,,,0,58,64,,
8162,note_off,,,,,20,0,0,,,0,63,64,,
