tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
15666,note_on,,,,,53,0,0,,82,67,0,,
15666,note_on,,,,,0,0,0,,70,48,0,,
15700,note_off,,,,,34,0,0,,81,64,0,,
15743,note_off,,,,,43,0,0,,70,64,0,,
15771,note_off,,,,,28,0,0,,82,64,0,,
15792,note_on,,,,,21,0,0,,81,87,0,,
15795,note_on,,,,,3,0,0,,69,53,0,,
15827,note_off,,,,,32,0,0,,69,64,0,,
15908,note_on,,,,,81,0,0,,68,57,0,,
15910,note_on,,,,,2,0,0,,80,79,0,,
15917,note_on,,,,,7,0,0,,38,33,0,,
15927,control_change,,,,,10,0,0,,,,0,64,0
15934,note_off,,,,,7,0,0,,81,64,0,,
16012,note_on,,,,,78,0,0,,46,38,0,,
16058,control_change,,,,,46,0,0,,,,0,64,127
16066,note_off,,,,,8,0,0,,38,64,0,,
16092,note_off,,,,,26,0,0,,46,64,0,,
16116,note_on,,,,,24,0,0,,50,56,0,,
16148,note_off,,,,,32,0,0,,50,64,0,,
16220,note_on,,,,,72,0,0,,53,73,0,,
16320,note_on,,,,,100,0,0,,58,23,0,,
16324,note_off,,,,,4,0,0,,53,64,0,,
16338,note_on,,,,,14,0,0,,74,76,0,,
16395,note_off,,,,,57,0,0,,80,64,0,,
16423,note_on,,,,,28,0,0,,76,77,0,,
16424,note_on,,,,,1,0,0,,50,52,0,,
16451,note_off,,,,,27,0,0,,58,64,0,,
16462,note_off,,,,,11,0,0,,50,64,0,,
16479,note_off,,,,,17,0,0,,74,64,0,,
16514,note_on,,,,,35,0,0,,59,62,0,,
16514,note_on,,,,,0,0,0,,77,84,0,,
16527,control_change,,,,,13,0,0,,,,0,64,0
16546,note_off,,,,,19,0,0,,76,64,0,,
16601,note_on,,,,,55,0,0,,79,90,0,,
16602,control_change,,,,,1,0,0,,,,0,64,127
16613,note_off,,,,,11,0,0,,77,64,0,,
16617,note_on,,,,,4,0,0,,50,52,0,,
16633,note_off,,,,,16,0,0,,59,64,0,,
16659,note_off,,,,,26,0,0,,50,64,0,,
16674,note_off,,,,,15,0,0,,79,64,0,,
16689,note_on,,,,,15,0,0,,77,84,0,,
16734,note_off,,,,,45,0,0,,68,64,0,,
16784,note_off,,,,,50,0,0,,77,64,0,,
16793,note_on,,,,,9,0,0,,81,87,0,,
16799,note_on,,,,,6,0,0,,76,47,0,,
16800,note_on,,,,,1,0,0,,69,60,0,,
16803,note_on,,,,,3,0,0,,37,56,0,,
16811,control_change,,,,,8,0,0,,,,0,64,0
16883,note_off,,,,,72,0,0,,69,64,0,,
16888,control_change,,,,,5,0,0,,,,0,64,127
16933,note_on,,,,,45,0,0,,70,62,0,,
16934,note_off,,,,,1,0,0,,37,64,0,,
16934,note_on,,,,,0,0,0,,82,80,0,,
16949,note_on,,,,,15,0,0,,49,48,0,,
16960,note_off,,,,,11,0,0,,81,64,0,,
16980,note_off,,,,,20,0,0,,49,64,0,,
16993,note_off,,,,,13,0,0,,70,64,0,,
17020,note_off,,,,,27,0,0,,82,64,0,,
17025,note_off,,,,,5,0,0,,76,64,0,,
17044,note_on,,,,,19,0,0,,81,83,0,,
17051,note_on,,,,,7,0,0,,69,50,0,,
17060,note_on,,,,,9,0,0,,52,58,0,,
17086,note_off,,,,,26,0,0,,69,64,0,,
17095,note_off,,,,,9,0,0,,52,64,0,,
17149,note_on,,,,,54,0,0,,38,47,0,,
17152,note_on,,,,,3,0,0,,80,75,0,,
17154,note_on,,,,,2,0,0,,68,66,0,,
17172,control_change,,,,,18,0,0,,,,0,64,0
17180,note_off,,,,,8,0,0,,81,64,0,,
17260,note_on,,,,,80,0,0,,46,37,0,,
17295,control_change,,,,,35,0,0,,,,0,64,127
17307,note_off,,,,,12,0,0,,38,64,0,,
17344,note_off,,,,,37,0,0,,46,64,0,,
17378,note_on,,,,,34,0,0,,50,41,0,,
17413,note_off,,,,,35,0,0,,50,64,0,,
17506,note_on,,,,,93,0,0,,53,55,0,,
17550,note_off,,,,,44,0,0,,53,64,0,,
17597,note_on,,,,,47,0,0,,58,36,0,,
17601,note_on,,,,,4,0,0,,74,66,0,,
17695,note_on,,,,,94,0,0,,76,70,0,,
17699,note_on,,,,,4,0,0,,50,52,0,,
17712,note_off,,,,,13,0,0,,80,64,0,,
17726,note_off,,,,,14,0,0,,58,64,0,,
17746,note_off,,,,,20,0,0,,74,64,0,,
17752,note_off,,,,,6,0,0,,50,64,0,,
17789,note_on,,,,,37,0,0,,59,58,0,,
17792,note_on,,,,,3,0,0,,77,72,0,,
17831,note_off,,,,,39,0,0,,76,64,0,,
17856,control_change,,,,,25,0,0,,,,0,64,0
17884,note_on,,,,,28,0,0,,79,88,0,,
17895,note_on,,,,,11,0,0,,50,55,0,,
17896,note_off,,,,,1,0,0,,77,64,0,,
17925,control_change,,,,,29,0,0,,,,0,64,127
17937,note_off,,,,,12,0,0,,79,64,0,,
17938,note_off,,,,,1,0,0,,59,64,0,,
17966,note_on,,,,,28,0,0,,77,81,0,,
17975,note_on,,,,,9,0,0,,47,57,0,,
