tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
24480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,54
24480,note_on,60,0,1,,,,,,,,,,,,,,,0,,,70,0
24480,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
24480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,0
24480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,0
24480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,46,51
24480,set_tempo,80,1,0,,,,,,,,,,,,433213,,,,,,,
24480,control_change,0,0,2,,,,,,,,,,,,,,,0,64,0,,
24565,control_change,85,0,2,,,,,,,,,,,,,,,0,64,127,,
24600,note_on,120,0,1,,,,,,,,,,,,,,,0,,,74,0
24720,note_on,155,0,2,,,,,,,,,,,,,,,0,,,46,0
24840,set_tempo,360,1,0,,,,,,,,,,,,373832,,,,,,,
24840,note_on,240,0,1,,,,,,,,,,,,,,,0,,,74,51
24960,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,28
24960,set_tempo,120,1,0,,,,,,,,,,,,422535,,,,,,,
24960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,48
24960,note_on,120,0,1,,,,,,,,,,,,,,,0,,,74,0
24960,note_on,240,0,2,,,,,,,,,,,,,,,0,,,62,33
24960,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,28
25440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
25440,set_tempo,480,1,0,,,,,,,,,,,,419580,,,,,,,
25440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,0
25440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,31
25440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,26
25440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,26
25440,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
25680,set_tempo,240,1,0,,,,,,,,,,,,428571,,,,,,,
25920,control_change,0,0,2,,,,,,,,,,,,,,,0,64,0,,
25920,note_on,960,0,1,,,,,,,,,,,,,,,0,,,64,0
25920,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
25920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
25920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,0
25920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,41,57
25920,set_tempo,240,1,0,,,,,,,,,,,,416667,,,,,,,
25920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,65,55
25960,set_tempo,40,1,0,,,,,,,,,,,,418118,,,,,,,
25994,control_change,74,0,2,,,,,,,,,,,,,,,0,64,127,,
26040,note_on,120,0,1,,,,,,,,,,,,,,,0,,,65,0
