tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
9216,note_on,,192,0,3,,,,,,64,0,0
9264,note_on,,48,0,3,,,,,,64,0,0
9264,note_on,,0,0,3,,,,,,61,72,0
9312,note_on,,48,0,3,,,,,,61,0,0
9312,note_on,,0,0,3,,,,,,62,72,0
9312,note_on,,0,0,4,,,,,,53,72,0
9312,note_on,,96,0,4,,,,,,41,0,0
9360,note_on,,48,0,3,,,,,,62,0,0
9360,note_on,,0,0,3,,,,,,64,72,0
9408,note_on,,0,0,2,,,,,,69,72,0
9408,note_on,,192,0,2,,,,,,69,0,0
9408,note_on,,0,0,4,,,,,,50,72,0
9408,note_on,,96,0,4,,,,,,53,0,0
9408,note_on,,48,0,3,,,,,,64,0,0
9408,note_on,,0,0,3,,,,,,65,72,0
9456,note_on,,48,0,2,,,,,,69,0,0
9456,note_on,,0,0,2,,,,,,75,72,0
9504,note_on,,96,0,4,,,,,,50,0,0
9504,note_on,,0,0,4,,,,,,46,72,0
9504,note_on,,0,0,2,,,,,,74,72,0
9504,note_on,,48,0,2,,,,,,75,0,0
9552,note_on,,0,0,2,,,,,,72,72,0
9552,note_on,,48,0,2,,,,,,74,0,0
9600,note_on,,0,0,3,,,,,,65,72,0
9600,note_on,,96,0,4,,,,,,46,0,0
9600,note_on,,192,0,3,,,,,,65,0,0
9600,note_on,,0,0,2,,,,,,70,72,0
9600,note_on,,48,0,2,,,,,,72,0,0
9600,note_on,,0,0,4,,,,,,41,72,0
9648,note_on,,48,0,3,,,,,,65,0,0
