tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,program,channel,note,velocity
4800,note_on,,96,0,2,,,,,,,0,65,0
4848,note_on,,48,0,2,,,,,,,0,64,0
4848,note_on,,0,0,2,,,,,,,0,69,72
4896,note_on,,0,0,3,,,,,,,0,62,88
4896,note_on,,96,0,3,,,,,,,0,64,0
4896,note_on,,96,0,1,,,,,,,0,72,0
4896,note_on,,0,0,1,,,,,,,0,71,72
4896,note_on,,96,0,4,,,,,,,0,52,72
4944,note_on,,0,0,2,,,,,,,0,68,72
4944,note_on,,96,0,2,,,,,,,0,69,0
4992,note_on,,0,0,2,,,,,,,0,69,72
4992,note_on,,48,0,2,,,,,,,0,68,0
4992,note_on,,0,0,4,,,,,,,0,53,72
4992,note_on,,96,0,3,,,,,,,0,62,0
4992,note_on,,0,0,1,,,,,,,0,69,72
4992,note_on,,96,0,1,,,,,,,0,71,0
4992,note_on,,96,0,4,,,,,,,0,52,0
5088,note_on,,0,0,1,,,,,,,0,76,72
5088,note_on,,96,0,1,,,,,,,0,69,0
5088,note_on,,0,0,2,,,,,,,0,68,72
5088,note_on,,96,0,2,,,,,,,0,69,0
5088,note_on,,96,0,4,,,,,,,0,53,0
5088,note_on,,0,0,4,,,,,,,0,52,72
5088,note_on,,96,0,3,,,,,,,0,60,88
5136,note_on,,0,0,4,,,,,,,0,50,72
5136,note_on,,48,0,4,,,,,,,0,52,0
5136,note_on,,0,0,2,,,,,,,0,66,72
5136,note_on,,48,0,2,,,,,,,0,68,0
5184,note_on,,96,0,3,,,,,,,0,60,0
5184,note_on,,0,0,4,,,,,,,0,52,72
5184,note_on,,0,0,3,,,,,,,0,59,88
5184,note_on,,48,0,4,,,,,,,0,50,0
5184,note_on,,0,0,1,,,,,,,0,74,72
5184,note_on,,48,0,2,,,,,,,0,66,0
5184,note_on,,0,0,2,,,,,,,0,68,72
5184,note_on,,96,0,1,,,,,,,0,76,0
5280,note_on,,96,0,1,,,,,,,0,74,0
5280,note_on,,96,0,3,,,,,,,0,59,0
5280,note_on,,0,0,1,,,,,,,0,72,72
5280,note_on,,0,0,2,,,,,,,0,69,72
5280,note_on,,0,0,4,,,,,,,0,53,72
5280,note_on,,96,0,2,,,,,,,0,68,0
5280,note_on,,96,0,4,,,,,,,0,52,0
5280,note_on,,0,0,3,,,,,,,0,57,88
5376,note_on,,96,0,4,,,,,,,0,53,0
5376,note_on,,0,0,4,,,,,,,0,47,72
5376,note_on,,0,0,1,,,,,,,0,72,72
5376,note_on,,96,0,2,,,,,,,0,69,0
5376,note_on,,96,0,3,,,,,,,0,57,0
5376,note_on,,96,0,1,,,,,,,0,72,0
5376,note_on,,0,0,2,,,,,,,0,62,72
5424,note_on,,0,0,2,,,,,,,0,64,72
5424,note_on,,48,0,2,,,,,,,0,62,0
5472,note_on,,0,0,4,,,,,,,0,48,72
5472,note_on,,0,0,2,,,,,,,0,65,72
5472,note_on,,48,0,2,,,,,,,0,64,0
5472,note_on,,96,0,3,,,,,,,0,56,88
5472,note_on,,96,0,4,,,,,,,0,47,0
5472,note_on,,0,0,1,,,,,,,0,71,72
5472,note_on,,96,0,1,,,,,,,0,72,0
5520,note_on,,0,0,4,,,,,,,0,50,72
5520,note_on,,48,0,4,,,,,,,0,48,0
5568,note_on,,0,0,2,,,,,,,0,64,72
5568,note_on,,0,0,3,,,,,,,0,57,88
5568,note_on,,0,0,4,,,,,,,0,48,72
5568,note_on,,48,0,4,,,,,,,0,50,0
5568,note_on,,96,0,2,,,,,,,0,65,0
5568,note_on,,96,0,3,,,,,,,0,56,0
5568,note_on,,96,0,1,,,,,,,0,71,0
5568,note_on,,0,0,1,,,,,,,0,69,72
5664,note_on,,96,0,3,,,,,,,0,57,0
5664,note_on,,0,0,3,,,,,,,0,59,88
5664,note_on,,0,0,1,,,,,,,0,68,72
5664,note_on,,96,0,4,,,,,,,0,48,0
5664,note_on,,0,0,4,,,,,,,0,47,72
5664,note_on,,0,0,2,,,,,,,0,62,72
5664,note_on,,96,0,2,,,,,,,0,64,0
5664,note_on,,96,0,1,,,,,,,0,69,0
5760,note_on,,96,0,3,,,,,,,0,59,0
5760,note_on,,96,0,2,,,,,,,0,62,0
5760,note_on,,0,0,2,,,,,,,0,62,72
5760,note_on,,0,0,4,,,,,,,0,45,72
5760,note_on,,0,0,1,,,,,,,0,69,72
5760,note_on,,96,0,1,,,,,,,0,68,0
5760,note_on,,96,0,4,,,,,,,0,47,0
5856,note_on,,0,0,4,,,,,,,0,57,72
5856,note_on,,96,0,4,,,,,,,0,45,0
5856,note_on,,0,0,1,,,,,,,0,64,72
5856,note_on,,96,0,2,,,,,,,0,62,0
5856,note_on,,0,0,2,,,,,,,0,60,72
5856,note_on,,96,0,1,,,,,,,0,69,0
5856,note_on,,96,0,3,,,,,,,0,60,88
5904,note_on,,48,0,3,,,,,,,0,60,0
5904,note_on,,0,0,3,,,,,,,0,62,88
5952,note_on,,96,0,4,,,,,,,0,57,0
5952,note_on,,96,0,1,,,,,,,0,64,0
5952,note_on,,0,0,3,,,,,,,0,60,88
5952,note_on,,0,0,4,,,,,,,0,50,72
5952,note_on,,0,0,2,,,,,,,0,65,72
5952,note_on,,96,0,2,,,,,,,0,60,0
5952,note_on,,48,0,3,,,,,,,0,62,0
6048,note_on,,0,0,4,,,,,,,0,55,72
6048,note_on,,96,0,4,,,,,,,0,50,0
6048,note_on,,0,0,3,,,,,,,0,59,88
6048,note_on,,96,0,3,,,,,,,0,60,0
6048,note_on,,96,0,1,,,,,,,0,71,72
6048,note_on,,96,0,2,,,,,,,0,65,0
6048,note_on,,0,0,2,,,,,,,0,64,72
6096,note_on,,48,0,2,,,,,,,0,64,0
6096,note_on,,0,0,2,,,,,,,0,62,72
6144,note_on,,96,0,1,,,,,,,0,71,0
6144,note_on,,96,0,4,,,,,,,0,55,0
6144,note_on,,0,0,2,,,,,,,0,64,72
6144,note_on,,0,0,3,,,,,,,0,57,88
6144,note_on,,96,0,3,,,,,,,0,59,0
6144,note_on,,48,0,2,,,,,,,0,62,0
6144,note_on,,0,0,4,,,,,,,0,55,72
6144,note_on,,0,0,1,,,,,,,0,73,72
6240,note_on,,96,0,2,,,,,,,0,64,0
6240,note_on,,0,0,2,,,,,,,0,65,72
6240,note_on,,96,0,4,,,,,,,0,55,0
6240,note_on,,0,0,1,,,,,,,0,74,72
6240,note_on,,0,0,4,,,,,,,0,53,72
6240,note_on,,96,0,1,,,,,,,0,73,0
6288,note_on,,48,0,4,,,,,,,0,53,0
6288,note_on,,0,0,4,,,,,,,0,55,72
6336,note_on,,0,0,4,,,,,,,0,53,72
6336,note_on,,48,0,4,,,,,,,0,55,0
6336,note_on,,96,0,2,,,,,,,0,65,0
6336,note_on,,192,0,3,,,,,,,0,57,0
6336,note_on,,0,0,3,,,,,,,0,59,72
6336,note_on,,0,0,2,,,,,,,0,67,72
6432,note_on,,96,0,4,,,,,,,0,53,0
