tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
7017,note_on,,,,,52,0,1,,,,,0,75,0
7017,note_on,,,,,0,0,1,,,,,0,51,0
7025,note_on,,,,,0,0,1,,,,,0,50,64
7025,note_on,,,,,8,0,1,,,,,0,77,64
7077,note_on,,,,,0,0,1,,,,,0,77,0
7077,note_on,,,,,52,0,1,,,,,0,50,0
7085,note_on,,,,,0,0,1,,,,,0,51,64
7085,note_on,,,,,0,0,1,,,,,0,71,64
7085,note_on,,,,,8,0,1,,,,,0,78,64
7137,note_on,,,,,0,0,1,,,,,0,78,0
7137,note_on,,,,,52,0,1,,,,,0,51,0
7145,note_on,,,,,8,0,1,,,,,0,75,64
7145,note_on,,,,,0,0,1,,,,,0,47,64
7197,note_on,,,,,52,0,1,,,,,0,47,0
7197,note_on,,,,,0,0,1,,,,,0,75,0
7205,note_on,,,,,8,0,1,,,,,0,77,64
7205,note_on,,,,,0,0,1,,,,,0,44,64
7310,note_on,,,,,105,0,1,,,,,0,44,0
7310,note_on,,,,,0,0,1,,,,,0,71,0
7325,note_on,,,,,15,0,1,,,,,0,70,64
7325,note_on,,,,,0,0,1,,,,,0,49,64
7377,note_on,,,,,52,0,1,,,,,0,70,0
7385,note_on,,,,,8,0,1,,,,,0,68,64
7430,note_on,,,,,45,0,1,,,,,0,77,0
7437,note_on,,,,,7,0,1,,,,,0,68,0
7445,note_on,,,,,8,0,1,,,,,0,79,64
7445,note_on,,,,,0,0,1,,,,,0,70,64
7497,note_on,,,,,52,0,1,,,,,0,49,0
7505,note_on,,,,,8,0,1,,,,,0,47,64
7550,note_on,,,,,45,0,1,,,,,0,70,0
7557,note_on,,,,,7,0,1,,,,,0,47,0
7565,note_on,,,,,0,0,1,,,,,0,49,64
7565,note_on,,,,,8,0,1,,,,,0,75,64
7617,note_on,,,,,52,0,1,,,,,0,49,0
7625,note_on,,,,,8,0,1,,,,,0,46,64
7670,note_on,,,,,45,0,1,,,,,0,79,0
7677,note_on,,,,,7,0,1,,,,,0,46,0
7685,note_on,,,,,8,0,1,,,,,0,80,64
7685,note_on,,,,,0,0,1,,,,,0,47,64
7737,note_on,,,,,52,0,1,,,,,0,47,0
7737,note_on,,,,,0,0,1,,,,,0,75,0
7745,note_on,,,,,0,0,1,,,,,0,51,64
7745,note_on,,,,,8,0,1,,,,,0,73,64
7790,note_on,,,,,45,0,1,,,,,0,80,0
7797,note_on,,,,,7,0,1,,,,,0,51,0
7797,note_on,,,,,0,0,1,,,,,0,73,0
7805,note_on,,,,,8,0,1,,,,,0,75,64
7805,note_on,,,,,0,0,1,,,,,0,53,64
7805,note_on,,,,,0,0,1,,,,,0,71,64
7857,note_on,,,,,52,0,1,,,,,0,53,0
7857,note_on,,,,,0,0,1,,,,,0,75,0
7857,note_on,,,,,0,0,1,,,,,0,71,0
7865,note_on,,,,,0,0,1,,,,,0,55,64
7865,note_on,,,,,0,0,1,,,,,0,70,64
7865,note_on,,,,,8,0,1,,,,,0,73,64
7917,note_on,,,,,0,0,1,,,,,0,73,0
7917,note_on,,,,,0,0,1,,,,,0,70,0
7917,note_on,,,,,52,0,1,,,,,0,55,0
7925,note_on,,,,,0,0,1,,,,,0,68,64
7925,note_on,,,,,8,0,1,,,,,0,71,64
7925,note_on,,,,,0,0,1,,,,,0,56,64
7977,note_on,,,,,52,0,1,,,,,0,68,0
7985,note_on,,,,,8,0,1,,,,,0,67,64
8030,note_on,,,,,0,0,1,,,,,0,71,0
8030,note_on,,,,,45,0,1,,,,,0,56,0
8037,note_on,,,,,7,0,1,,,,,0,67,0
8045,note_on,,,,,8,0,1,,,,,0,76,64
8045,note_on,,,,,0,0,1,,,,,0,68,64
8045,note_on,,,,,0,0,1,,,,,0,61,64
8097,note_on,,,,,52,0,1,,,,,0,68,0
8105,note_on,,,,,8,0,1,,,,,0,64,64
8150,note_on,,,,,45,0,1,,,,,0,61,0
8157,note_on,,,,,7,0,1,,,,,0,64,0
