tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
5232,note_on,432,0,1,,,,,,,,,,,0,,79,0,,,,,,
5256,note_on,216,0,5,,,,,,,,,,,4,,64,0,,,,,,
5256,note_on,216,0,11,,,,,,,,,,,10,,60,0,,,,,,
5256,note_on,216,0,6,,,,,,,,,,,5,,48,0,,,,,,
5256,note_on,216,0,7,,,,,,,,,,,5,,60,0,,,,,,
5280,note_on,24,0,11,,,,,,,,,,,10,,50,100,,,,,,
5280,note_on,24,0,6,,,,,,,,,,,5,,38,100,,,,,,
5280,note_on,48,0,2,,,,,,,,,,,1,,78,100,,,,,,
5280,note_on,48,0,1,,,,,,,,,,,0,,78,100,,,,,,
5280,note_on,24,0,5,,,,,,,,,,,4,,66,100,,,,,,
5280,note_on,24,0,7,,,,,,,,,,,5,,50,100,,,,,,
5472,note_on,432,0,3,,,,,,,,,,,2,,69,0,,,,,,
5472,note_on,432,0,4,,,,,,,,,,,3,,72,0,,,,,,
5496,note_on,216,0,5,,,,,,,,,,,4,,66,0,,,,,,
5496,note_on,216,0,6,,,,,,,,,,,5,,38,0,,,,,,
5496,note_on,216,0,11,,,,,,,,,,,10,,50,0,,,,,,
5496,note_on,216,0,7,,,,,,,,,,,5,,50,0,,,,,,
5520,note_on,48,0,3,,,,,,,,,,,2,,67,100,,,,,,
5520,note_on,24,0,6,,,,,,,,,,,5,,47,100,,,,,,
5520,note_on,48,0,4,,,,,,,,,,,3,,71,100,,,,,,
5520,note_on,24,0,5,,,,,,,,,,,4,,62,100,,,,,,
5520,note_on,24,0,7,,,,,,,,,,,5,,59,100,,,,,,
5520,note_on,24,0,11,,,,,,,,,,,10,,59,100,,,,,,
5712,note_on,432,0,1,,,,,,,,,,,0,,78,0,,,,,,
5712,note_on,432,0,2,,,,,,,,,,,1,,78,0,,,,,,
5736,note_on,216,0,11,,,,,,,,,,,10,,59,0,,,,,,
5736,note_on,216,0,7,,,,,,,,,,,5,,59,0,,,,,,
5736,note_on,216,0,6,,,,,,,,,,,5,,47,0,,,,,,
5736,note_on,216,0,5,,,,,,,,,,,4,,62,0,,,,,,
5760,note_on,48,0,1,,,,,,,,,,,0,,76,100,,,,,,
