tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
8928,note_on,,96,0,2,,,,,,72,0,0
8928,note_on,,0,0,2,,,,,,71,72,0
9024,note_on,,192,0,4,,,,,,48,0,0
9024,note_on,,96,0,2,,,,,,71,0,0
9024,note_on,,192,0,1,,,,,,69,0,0
9024,note_on,,0,0,1,,,,,,71,88,0
9024,note_on,,0,0,2,,,,,,69,72,0
9120,note_on,,96,0,4,,,,,,52,72,0
9120,note_on,,96,0,2,,,,,,69,0,0
9120,note_on,,0,0,2,,,,,,68,72,0
9216,note_on,,0,0,2,,,,,,69,72,0
9216,note_on,,0,0,1,,,,,,72,88,0
9216,note_on,,0,0,3,,,,,,64,72,0
9216,note_on,,96,0,2,,,,,,68,0,0
9216,note_on,,192,0,1,,,,,,71,0,0
9216,note_on,,96,0,4,,,,,,52,0,0
9216,note_on,,0,0,4,,,,,,45,72,0
9216,note_on,,384,0,3,,,,,,64,0,0
9264,note_on,,48,0,4,,,,,,45,0,0
9264,note_on,,0,0,4,,,,,,47,72,0
9312,note_on,,96,0,3,,,,,,64,0,0
9312,note_on,,0,0,3,,,,,,57,72,0
9312,note_on,,48,0,4,,,,,,47,0,0
9312,note_on,,0,0,4,,,,,,48,72,0
9360,note_on,,0,0,4,,,,,,50,72,0
9360,note_on,,48,0,4,,,,,,48,0,0
9408,note_on,,96,0,3,,,,,,57,0,0
9408,note_on,,0,0,3,,,,,,52,72,0
9408,note_on,,0,0,4,,,,,,52,72,0
9408,note_on,,48,0,4,,,,,,50,0,0
9504,note_on,,288,0,1,,,,,,72,0,0
9504,note_on,,288,0,2,,,,,,69,0,0
9504,note_on,,0,0,2,,,,,,70,72,0
9504,note_on,,0,0,1,,,,,,74,88,0
9600,note_on,,192,0,3,,,,,,52,0,0
9600,note_on,,192,0,4,,,,,,52,0,0
9600,note_on,,96,0,1,,,,,,74,0,0
9600,note_on,,0,0,2,,,,,,69,72,0
9600,note_on,,96,0,2,,,,,,70,0,0
9600,note_on,,0,0,1,,,,,,72,88,0
9600,note_on,,0,0,4,,,,,,40,72,0
9696,note_on,,0,0,2,,,,,,67,72,0
9696,note_on,,96,0,2,,,,,,69,0,0
9696,note_on,,0,0,1,,,,,,70,88,0
9696,note_on,,96,0,1,,,,,,72,0,0
9696,note_on,,96,0,3,,,,,,62,72,0
9792,note_on,,0,0,4,,,,,,41,72,0
9792,note_on,,0,0,1,,,,,,69,88,0
9792,note_on,,0,0,3,,,,,,60,72,0
9792,note_on,,96,0,1,,,,,,70,0,0
9792,note_on,,96,0,2,,,,,,67,0,0
9792,note_on,,0,0,2,,,,,,65,72,0
9792,note_on,,96,0,3,,,,,,62,0,0
9792,note_on,,192,0,4,,,,,,40,0,0
9840,note_on,,0,0,4,,,,,,43,72,0
9840,note_on,,48,0,4,,,,,,41,0,0
9888,note_on,,48,0,4,,,,,,43,0,0
9888,note_on,,0,0,4,,,,,,45,72,0
9888,note_on,,0,0,3,,,,,,53,72,0
9888,note_on,,96,0,3,,,,,,60,0,0
9936,note_on,,48,0,4,,,,,,45,0,0
9936,note_on,,0,0,4,,,,,,46,72,0
9984,note_on,,0,0,3,,,,,,48,72,0
9984,note_on,,0,0,4,,,,,,48,72,0
9984,note_on,,48,0,4,,,,,,46,0,0
9984,note_on,,96,0,3,,,,,,53,0,0
10080,note_on,,0,0,2,,,,,,67,72,0
10080,note_on,,0,0,1,,,,,,70,72,0
10080,note_on,,288,0,1,,,,,,69,0,0
10080,note_on,,288,0,2,,,,,,65,0,0
10176,note_on,,96,0,1,,,,,,70,0,0
10176,note_on,,192,0,3,,,,,,48,0,0
10176,note_on,,0,0,1,,,,,,69,72,0
10176,note_on,,96,0,2,,,,,,67,0,0
10176,note_on,,0,0,2,,,,,,65,72,0
10176,note_on,,0,0,4,,,,,,36,72,0
10176,note_on,,192,0,4,,,,,,48,0,0
10272,note_on,,96,0,2,,,,,,65,0,0
10272,note_on,,0,0,2,,,,,,64,72,0
10272,note_on,,0,0,1,,,,,,67,72,0
10272,note_on,,96,0,3,,,,,,58,72,0
10272,note_on,,96,0,1,,,,,,69,0,0
10368,note_on,,0,0,4,,,,,,38,72,0
10368,note_on,,0,0,3,,,,,,57,72,0
10368,note_on,,96,0,3,,,,,,58,0,0
10368,note_on,,192,0,4,,,,,,36,0,0
10368,note_on,,0,0,1,,,,,,65,72,0
10368,note_on,,96,0,1,,,,,,67,0,0
10368,note_on,,96,0,2,,,,,,64,0,0
10368,note_on,,0,0,2,,,,,,62,72,0
10416,note_on,,0,0,4,,,,,,40,72,0
10416,note_on,,48,0,4,,,,,,38,0,0
10464,note_on,,48,0,4,,,,,,40,0,0
10464,note_on,,96,0,3,,,,,,57,0,0
10464,note_on,,0,0,3,,,,,,62,72,0
10464,note_on,,0,0,4,,,,,,41,72,0
10512,note_on,,48,0,4,,,,,,41,0,0
10512,note_on,,48,0,3,,,,,,62,0,0
10512,note_on,,0,0,4,,,,,,43,72,0
10512,note_on,,0,0,3,,,,,,64,72,0
10560,note_on,,48,0,3,,,,,,64,0,0
10560,note_on,,0,0,3,,,,,,65,72,0
10560,note_on,,48,0,4,,,,,,43,0,0
10560,note_on,,0,0,4,,,,,,45,72,0
10656,note_on,,288,0,2,,,,,,62,0,0
10656,note_on,,0,0,2,,,,,,64,72,0
10656,note_on,,0,0,3,,,,,,61,72,0
10656,note_on,,96,0,3,,,,,,65,0,0
10656,note_on,,288,0,1,,,,,,65,0,0
10656,note_on,,0,0,1,,,,,,67,72,0
10752,note_on,,192,0,4,,,,,,45,0,0
10752,note_on,,96,0,3,,,,,,61,0,0
10752,note_on,,0,0,3,,,,,,62,72,0
10752,note_on,,96,0,2,,,,,,64,0,0
10752,note_on,,0,0,2,,,,,,62,72,0
10752,note_on,,96,0,1,,,,,,67,0,0
10752,note_on,,0,0,1,,,,,,65,72,0
10848,note_on,,96,0,2,,,,,,62,0,0
10848,note_on,,0,0,3,,,,,,55,72,0
10848,note_on,,96,0,3,,,,,,62,0,0
10848,note_on,,96,0,1,,,,,,65,0,0
10848,note_on,,0,0,2,,,,,,61,72,0
10848,note_on,,0,0,1,,,,,,64,72,0
10848,note_on,,96,0,4,,,,,,46,72,0
10944,note_on,,96,0,1,,,,,,64,0,0
10944,note_on,,0,0,4,,,,,,45,72,0
10944,note_on,,96,0,3,,,,,,55,0,0
10944,note_on,,0,0,2,,,,,,62,72,0
10944,note_on,,96,0,2,,,,,,61,0,0
10944,note_on,,0,0,1,,,,,,65,72,0
10944,note_on,,96,0,4,,,,,,46,0,0
10944,note_on,,0,0,3,,,,,,57,72,0
11040,note_on,,0,0,2,,,,,,64,72,0
11040,note_on,,96,0,1,,,,,,65,0,0
11040,note_on,,96,0,2,,,,,,62,0,0
11040,note_on,,0,0,4,,,,,,43,72,0
11040,note_on,,96,0,4,,,,,,45,0,0
11040,note_on,,0,0,1,,,,,,67,72,0
11136,note_on,,0,0,2,,,,,,65,72,0
11136,note_on,,96,0,2,,,,,,64,0,0
11136,note_on,,0,0,1,,,,,,69,72,0
11136,note_on,,96,0,1,,,,,,67,0,0
11136,note_on,,96,0,4,,,,,,43,0,0
11136,note_on,,0,0,4,,,,,,41,72,0
11232,note_on,,0,0,4,,,,,,40,72,0
11232,note_on,,96,0,4,,,,,,41,0,0
11232,note_on,,0,0,3,,,,,,55,72,0
11232,note_on,,288,0,3,,,,,,57,0,0
11328,note_on,,0,0,4,,,,,,38,72,0
11328,note_on,,96,0,4,,,,,,40,0,0
11328,note_on,,96,0,3,,,,,,55,0,0
11328,note_on,,0,0,3,,,,,,53,72,0
11424,note_on,,0,0,3,,,,,,52,72,0
11424,note_on,,288,0,2,,,,,,65,0,0
11424,note_on,,0,0,2,,,,,,67,72,0
11424,note_on,,288,0,1,,,,,,69,0,0
11424,note_on,,0,0,1,,,,,,71,72,0
11424,note_on,,96,0,3,,,,,,53,0,0
11472,note_on,,48,0,2,,,,,,67,0,0
11472,note_on,,0,0,2,,,,,,64,72,0
11472,note_on,,48,0,1,,,,,,71,0,0
11472,note_on,,0,0,1,,,,,,73,72,0
11520,note_on,,0,0,1,,,,,,74,88,0
11520,note_on,,0,0,3,,,,,,50,72,0
11520,note_on,,96,0,3,,,,,,52,0,0
11520,note_on,,48,0,2,,,,,,64,0,0
11520,note_on,,0,0,2,,,,,,65,72,0
11520,note_on,,192,0,4,,,,,,38,0,0
11520,note_on,,48,0,1,,,,,,73,0,0
11568,note_on,,48,0,1,,,,,,74,0,0
11568,note_on,,0,0,1,,,,,,76,88,0
11616,note_on,,96,0,2,,,,,,65,0,0
11616,note_on,,0,0,1,,,,,,77,88,0
11616,note_on,,48,0,1,,,,,,76,0,0
11616,note_on,,0,0,2,,,,,,69,72,0
11664,note_on,,0,0,1,,,,,,79,88,0
11664,note_on,,48,0,1,,,,,,77,0,0
11712,note_on,,96,0,2,,,,,,69,0,0
11712,note_on,,0,0,3,,,,,,50,72,0
11712,note_on,,0,0,1,,,,,,81,88,0
11712,note_on,,48,0,1,,,,,,79,0,0
