tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
157825,note_off,385,0,4,,,,,,,,,4,,,67,0
157895,note_off,95,0,1,,,,,,,,,1,,,83,0
157920,note_on,25,0,1,,,,,,,,,1,,,83,95
157920,note_on,95,0,4,,,,,,,,,4,,,72,95
157920,note_on,0,0,4,,,,,,,,,4,,,69,95
158040,note_off,120,0,1,,,,,,,,,1,,,83,0
158040,note_on,0,0,1,,,,,,,,,1,,,81,94
158160,note_off,120,0,1,,,,,,,,,1,,,81,0
158160,note_on,0,0,1,,,,,,,,,1,,,79,94
158280,note_off,120,0,1,,,,,,,,,1,,,79,0
158280,note_on,0,0,1,,,,,,,,,1,,,78,93
158300,note_off,860,0,5,,,,,,,,,5,,,62,0
158305,note_off,385,0,4,,,,,,,,,4,,,69,0
158305,note_off,0,0,4,,,,,,,,,4,,,72,0
158360,set_tempo,1450,1,0,,,,,,434782,,,,,,,
158375,note_off,95,0,1,,,,,,,,,1,,,78,0
158400,note_on,25,0,1,,,,,,,,,1,,,79,93
158400,note_on,95,0,4,,,,,,,,,4,,,71,93
158400,note_on,100,0,5,,,,,,,,,5,,,67,93
158460,set_tempo,100,1,0,,,,,,428571,,,,,,,
158555,note_off,155,0,1,,,,,,,,,1,,,79,0
158640,note_on,85,0,1,,,,,,,,,1,,,79,92
158760,note_on,0,0,1,,,,,,,,,1,,,83,91
158760,note_off,120,0,1,,,,,,,,,1,,,79,0
158785,note_off,385,0,4,,,,,,,,,4,,,71,0
158785,note_off,385,0,5,,,,,,,,,5,,,67,0
158880,note_off,120,0,1,,,,,,,,,1,,,83,0
158880,note_on,0,0,1,,,,,,,,,1,,,81,90
159000,note_on,0,0,1,,,,,,,,,1,,,84,90
159000,note_off,120,0,1,,,,,,,,,1,,,81,0
159120,note_on,335,0,5,,,,,,,,,5,,,62,89
159120,note_on,0,0,1,,,,,,,,,1,,,83,89
159120,note_off,120,0,1,,,,,,,,,1,,,84,0
159240,note_on,0,0,5,,,,,,,,,5,,,66,89
159240,note_off,120,0,5,,,,,,,,,5,,,62,0
159240,note_on,0,0,1,,,,,,,,,1,,,86,89
159240,note_off,120,0,1,,,,,,,,,1,,,83,0
159360,note_off,120,0,5,,,,,,,,,5,,,66,0
159360,note_on,0,0,1,,,,,,,,,1,,,84,88
159360,note_off,120,0,1,,,,,,,,,1,,,86,0
159360,note_on,0,0,5,,,,,,,,,5,,,64,88
159440,note_off,80,0,1,,,,,,,,,1,,,84,0
159440,note_on,0,0,1,,,,,,,,,1,,,86,88
159480,note_off,120,0,5,,,,,,,,,5,,,64,0
159480,note_on,0,0,5,,,,,,,,,5,,,67,88
159520,note_off,80,0,1,,,,,,,,,1,,,86,0
159520,note_on,0,0,1,,,,,,,,,1,,,84,87
159600,note_on,0,0,1,,,,,,,,,1,,,83,87
159600,note_off,80,0,1,,,,,,,,,1,,,84,0
159600,note_on,0,0,5,,,,,,,,,5,,,66,87
159600,note_off,120,0,5,,,,,,,,,5,,,67,0
159720,note_off,120,0,5,,,,,,,,,5,,,66,0
